PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
16.46, 1.75, 27.81,-0.14332, -0.64161, 0.09050, -0.74806,
16.47, 1.76, 27.82,-0.12195, -0.64224, 0.06643, -0.75382,
16.49, 1.75, 27.82,-0.14960, -0.63646, 0.08820, -0.75151,
16.50, 1.75, 27.83,-0.15817, -0.63965, 0.08119, -0.74782,
16.49, 1.74, 27.84,-0.16843, -0.62190, 0.08683, -0.75982,
16.50, 1.74, 27.83,-0.16910, -0.63723, 0.10752, -0.74416,
16.49, 1.74, 27.82,-0.17121, -0.63538, 0.10791, -0.74521,
16.49, 1.74, 27.82,-0.16198, -0.63313, 0.10125, -0.75010,
16.49, 1.74, 27.82,-0.15584, -0.63398, 0.10122, -0.75069,
16.49, 1.75, 27.82,-0.15443, -0.63118, 0.09894, -0.75364,
16.49, 1.75, 27.82,-0.15029, -0.63042, 0.09453, -0.75568,
16.48, 1.75, 27.82,-0.14726, -0.63200, 0.09235, -0.75523,
16.48, 1.75, 27.82,-0.14066, -0.62931, 0.08296, -0.75980,
16.47, 1.75, 27.82,-0.14455, -0.62560, 0.08541, -0.76186,
16.48, 1.75, 27.79,-0.15166, -0.70100, 0.09978, -0.68966,
16.48, 1.75, 27.77,-0.13435, -0.75561, 0.10660, -0.63218,
16.47, 1.75, 27.79,-0.13748, -0.68238, 0.09486, -0.71166,
16.46, 1.75, 27.81,-0.12943, -0.61332, 0.07788, -0.77526,
16.46, 1.76, 27.82,-0.12298, -0.59927, 0.07001, -0.78794,
16.46, 1.75, 27.81,-0.12965, -0.60736, 0.07671, -0.78001,
16.47, 1.75, 27.81,-0.14743, -0.62008, 0.09805, -0.76430,
16.47, 1.74, 27.81,-0.15713, -0.61697, 0.10173, -0.76440,
16.48, 1.74, 27.81,-0.16473, -0.61103, 0.10938, -0.76651,
16.48, 1.74, 27.81,-0.16104, -0.61445, 0.10493, -0.76518,
16.48, 1.74, 27.81,-0.16176, -0.61460, 0.10451, -0.76497,
16.48, 1.75, 27.81,-0.15503, -0.61590, 0.09518, -0.76653,
16.48, 1.74, 27.81,-0.17856, -0.61102, 0.11364, -0.76280,
16.48, 1.73, 27.81,-0.19923, -0.61414, 0.13027, -0.75244,
16.48, 1.76, 27.81,-0.11403, -0.62973, 0.04470, -0.76710,
16.47, 1.76, 27.80,-0.12665, -0.63161, 0.06711, -0.76192,
16.48, 1.74, 27.77,-0.12252, -0.69777, 0.14824, -0.69002,
16.48, 1.73, 27.76,-0.14389, -0.72249, 0.16956, -0.65464,
16.48, 1.73, 27.78,-0.17023, -0.68218, 0.15211, -0.69463,
16.48, 1.74, 27.80,-0.17377, -0.62967, 0.12571, -0.74667,
16.47, 1.79, 27.80,-0.00460, -0.64275, 0.01614, -0.76589,
16.45, 1.79, 27.80,0.00891, -0.62977, -0.01321, -0.77661,
16.46, 1.74, 27.80,-0.17291, -0.63951, 0.13320, -0.73715,
16.47, 1.74, 27.81,-0.17479, -0.62378, 0.11970, -0.75234,
16.47, 1.74, 27.81,-0.16961, -0.62344, 0.11874, -0.75396,
16.47, 1.74, 27.80,-0.16629, -0.63017, 0.11881, -0.74908,
16.45, 1.79, 27.79,-0.03810, -0.66326, -0.00222, -0.74741,
16.45, 1.74, 27.80,-0.15923, -0.63799, 0.11148, -0.74511,
16.46, 1.75, 27.81,-0.15366, -0.62348, 0.10308, -0.75963,
16.46, 1.75, 27.80,-0.14735, -0.63010, 0.10446, -0.75522,
16.46, 1.74, 27.79,-0.14054, -0.64411, 0.11878, -0.74248,
16.46, 1.74, 27.80,-0.14506, -0.63753, 0.11296, -0.74817,
16.47, 1.74, 27.80,-0.16653, -0.63485, 0.12106, -0.74470,
16.47, 1.74, 27.80,-0.15824, -0.62599, 0.11226, -0.75531,
16.48, 1.75, 27.80,-0.12206, -0.63616, 0.08231, -0.75739,
16.48, 1.76, 27.80,-0.10827, -0.63664, 0.07355, -0.75997,
16.48, 1.76, 27.81,-0.11533, -0.63551, 0.07868, -0.75936,
16.48, 1.75, 27.81,-0.12614, -0.63154, 0.08630, -0.76013,
16.48, 1.75, 27.81,-0.12764, -0.63205, 0.08715, -0.75936,
16.48, 1.75, 27.81,-0.13062, -0.63436, 0.09273, -0.75626,
16.48, 1.74, 27.81,-0.14987, -0.62932, 0.10642, -0.75510,
16.48, 1.75, 27.81,-0.14932, -0.62684, 0.09645, -0.75860,
16.48, 1.74, 27.81,-0.15434, -0.62374, 0.09856, -0.75988,
16.48, 1.74, 27.81,-0.15367, -0.62548, 0.10286, -0.75801,
16.48, 1.74, 27.81,-0.15639, -0.62606, 0.10534, -0.75663,
16.48, 1.74, 27.81,-0.15687, -0.62275, 0.10238, -0.75967,
16.48, 1.74, 27.81,-0.15860, -0.62177, 0.10061, -0.76034,
16.48, 1.74, 27.81,-0.15679, -0.62501, 0.09799, -0.75840,
16.48, 1.75, 27.81,-0.14544, -0.62578, 0.08665, -0.76140,
16.48, 1.75, 27.81,-0.14729, -0.62240, 0.08670, -0.76381,
16.48, 1.76, 27.81,-0.11975, -0.62946, 0.06803, -0.76473,
16.48, 1.77, 27.80,-0.09431, -0.65905, 0.04877, -0.74457,
16.48, 1.76, 27.79,-0.10836, -0.69182, 0.06554, -0.71088,
16.49, 1.75, 27.80,-0.13669, -0.64930, 0.07983, -0.74388,
16.49, 1.75, 27.81,-0.15781, -0.62528, 0.08503, -0.75954,
16.49, 1.75, 27.81,-0.15244, -0.62325, 0.08121, -0.76271,
16.49, 1.75, 27.81,-0.14924, -0.63157, 0.08736, -0.75579,
16.49, 1.75, 27.81,-0.14759, -0.63139, 0.08865, -0.75612,
16.48, 1.75, 27.81,-0.14396, -0.63095, 0.08403, -0.75771,
16.49, 1.75, 27.82,-0.15555, -0.67036, 0.05130, -0.72374,
16.48, 1.75, 27.87,-0.17260, -0.64938, 0.04804, -0.73906,
16.47, 1.75, 27.87,-0.14516, -0.65695, 0.08198, -0.73527,
16.47, 1.75, 27.85,-0.11539, -0.65271, 0.10401, -0.74151,
16.47, 1.75, 27.84,-0.12872, -0.64589, 0.09313, -0.74672,
16.47, 1.75, 27.84,-0.13907, -0.62974, 0.08313, -0.75972,
16.47, 1.75, 27.83,-0.14351, -0.62650, 0.08811, -0.76101,
16.47, 1.75, 27.82,-0.15024, -0.63258, 0.09525, -0.75379,
16.48, 1.75, 27.82,-0.14490, -0.63582, 0.09326, -0.75236,
16.48, 1.75, 27.82,-0.14253, -0.63480, 0.08874, -0.75421,
16.48, 1.75, 27.82,-0.13678, -0.63590, 0.08507, -0.75477,
16.48, 1.75, 27.82,-0.13168, -0.63452, 0.08146, -0.75724,
16.48, 1.75, 27.82,-0.13223, -0.63765, 0.08473, -0.75415,
16.48, 1.75, 27.82,-0.13219, -0.63762, 0.08385, -0.75428,
16.48, 1.75, 27.82,-0.13462, -0.63711, 0.08687, -0.75393,
16.47, 1.75, 27.82,-0.13187, -0.63723, 0.08436, -0.75461,
16.47, 1.75, 27.82,-0.13408, -0.63246, 0.08315, -0.75836,
16.48, 1.75, 27.82,-0.13478, -0.63295, 0.08841, -0.75722,
16.48, 1.75, 27.81,-0.13155, -0.63367, 0.08546, -0.75753,
16.48, 1.76, 27.83,-0.12413, -0.63255, 0.05566, -0.76248,
16.47, 1.76, 27.83,-0.10729, -0.63006, 0.03413, -0.76834,
16.48, 1.75, 27.83,-0.13920, -0.63273, 0.08107, -0.75744,
16.48, 1.75, 27.83,-0.13822, -0.63769, 0.08583, -0.75292,
16.48, 1.75, 27.83,-0.13204, -0.63345, 0.07646, -0.75859,
16.48, 1.75, 27.82,-0.13174, -0.63289, 0.07850, -0.75890,
16.48, 1.76, 27.79,-0.10500, -0.67615, 0.09594, -0.72291,
16.48, 1.76, 27.72,-0.08482, -0.71508, 0.10717, -0.68555,
16.46, 1.75, 27.62,-0.07032, -0.75944, 0.12364, -0.63484,
16.45, 1.75, 27.63,-0.09719, -0.69107, 0.11720, -0.70657,
16.49, 1.74, 27.73,-0.15878, -0.64150, 0.10322, -0.74338,
16.50, 1.73, 27.84,-0.19339, -0.60975, 0.11075, -0.76062,
16.48, 1.74, 27.91,-0.19193, -0.63272, 0.09144, -0.74463,
16.49, 1.73, 27.94,-0.21450, -0.66324, 0.10271, -0.70961,
16.50, 1.73, 27.86,-0.19589, -0.61322, 0.11972, -0.75581,
16.51, 1.74, 27.72,-0.13358, -0.60804, 0.09077, -0.77731,
16.49, 1.76, 27.68,-0.09430, -0.61516, 0.02703, -0.78227,
16.50, 1.73, 27.72,-0.18916, -0.58251, 0.10611, -0.78335,
16.51, 1.72, 27.79,-0.20533, -0.59652, 0.12087, -0.76642,
16.52, 1.73, 27.82,-0.18137, -0.64500, 0.10357, -0.73509,
16.52, 1.75, 27.80,-0.11601, -0.68656, 0.08350, -0.71288,
16.55, 1.75, 27.78,-0.11589, -0.68263, 0.08580, -0.71639,
16.56, 1.76, 27.70,-0.05539, -0.79957, 0.08577, -0.59183,
16.46, 1.75, 27.62,0.04234, 0.98420, -0.10700, 0.13456,
16.39, 1.74, 27.68,0.05525, 0.96352, -0.13670, -0.22335,
16.32, 1.73, 27.70,0.03160, 0.91322, -0.18024, -0.36407,
16.19, 1.75, 27.66,-0.00063, 0.90736, -0.12586, -0.40107,
15.93, 1.74, 27.53,-0.03970, 0.87655, -0.15754, -0.45306,
15.76, 1.73, 27.35,-0.00958, 0.87981, -0.17444, -0.44205,
15.58, 1.74, 27.10,0.01343, 0.84642, -0.14511, -0.51218,
15.37, 1.77, 26.94,-0.03212, 0.76277, -0.11494, -0.63556,
15.10, 1.75, 26.81,-0.03495, 0.68345, -0.08363, -0.72435,
14.90, 1.76, 26.78,-0.11196, 0.43585, -0.09520, -0.88794,
14.70, 1.76, 26.78,-0.11959, 0.24542, -0.08368, -0.95837,
14.55, 1.75, 26.93,-0.12695, 0.11128, -0.03447, -0.98504,
14.48, 1.76, 27.20,-0.11116, 0.08593, 0.01546, -0.98996,
14.34, 1.77, 27.44,-0.09663, 0.14333, -0.03118, -0.98445,
14.16, 1.77, 27.71,-0.09124, 0.22131, -0.05743, -0.96923,
14.08, 1.77, 27.89,-0.06689, 0.58464, -0.05725, -0.80650,
14.11, 1.75, 28.20,-0.08798, 0.62626, -0.13298, -0.76314,
14.06, 1.75, 28.39,-0.11749, 0.69816, -0.16297, -0.68718,
13.92, 1.75, 28.43,-0.07004, 0.76799, -0.17815, -0.61119,
13.79, 1.74, 28.41,-0.05006, 0.87695, -0.20297, -0.43273,
13.66, 1.73, 28.39,0.00540, 0.95763, -0.20743, -0.19972,
13.51, 1.76, 28.35,0.01788, 0.97889, -0.19513, -0.05819,
13.44, 1.74, 28.17,0.04735, 0.98001, -0.19323, 0.00302,
13.45, 1.76, 27.89,0.04844, 0.98432, -0.16739, 0.02729,
13.41, 1.76, 27.63,0.01791, 0.98877, -0.13396, 0.06371,
13.37, 1.78, 27.33,0.01460, 0.98425, -0.09313, 0.14952,
13.43, 1.76, 27.01,0.04681, 0.97057, -0.10121, 0.21345,
13.57, 1.79, 26.71,0.08073, 0.95128, -0.06677, 0.28998,
13.70, 1.77, 26.42,0.08165, 0.89567, -0.05960, 0.43307,
13.85, 1.80, 26.12,0.04957, 0.90339, -0.06607, 0.42078,
14.10, 1.75, 25.87,0.06907, 0.96692, -0.06938, 0.23553,
14.29, 1.78, 25.67,0.06540, 0.98966, -0.11118, 0.06277,
14.40, 1.74, 25.42,0.03332, 0.98981, -0.12958, -0.04864,
14.47, 1.77, 25.18,0.00122, 0.97932, -0.16086, -0.12269,
14.53, 1.74, 24.93,-0.00640, 0.93903, -0.17019, -0.29871,
14.52, 1.77, 24.67,-0.03012, 0.90594, -0.17241, -0.38554,
14.35, 1.74, 24.45,-0.03945, 0.87451, -0.13981, -0.46275,
14.14, 1.79, 24.24,-0.03655, 0.87826, -0.12434, -0.46028,
13.91, 1.75, 24.00,-0.04369, 0.86046, -0.14707, -0.48587,
13.69, 1.78, 23.78,-0.03390, 0.81931, -0.15142, -0.55196,
13.41, 1.75, 23.64,-0.05932, 0.74754, -0.12403, -0.64983,
13.16, 1.79, 23.55,-0.09230, 0.67952, -0.09725, -0.72130,
12.85, 1.77, 23.47,-0.07281, 0.64419, -0.09905, -0.75492,
12.55, 1.80, 23.45,-0.07926, 0.65331, -0.08974, -0.74756,
12.23, 1.77, 23.48,-0.08525, 0.67415, -0.09977, -0.72685,
11.98, 1.80, 23.54,-0.12716, 0.51754, -0.08960, -0.84140,
11.74, 1.80, 23.56,-0.13469, 0.39575, -0.06733, -0.90593,
11.63, 1.80, 23.66,-0.16230, 0.03871, -0.02652, -0.98562,
11.63, 1.77, 23.85,-0.13712, -0.16667, 0.00548, -0.97642,
11.70, 1.80, 24.03,-0.11707, -0.31539, 0.03489, -0.94107,
11.83, 1.81, 24.21,-0.01182, -0.49646, -0.01711, -0.86781,
12.01, 1.82, 24.34,-0.05664, -0.62848, 0.02913, -0.77522,
12.28, 1.77, 24.35,-0.07524, -0.68841, 0.06762, -0.71823,
12.57, 1.80, 24.36,-0.13015, -0.63438, 0.06747, -0.75899,
12.82, 1.75, 24.49,-0.19385, -0.39129, 0.03604, -0.89890,
13.02, 1.77, 24.63,-0.21329, -0.19999, 0.00805, -0.95627,
13.18, 1.76, 24.76,-0.15843, 0.06139, -0.05503, -0.98392,
13.30, 1.79, 24.92,-0.11545, 0.19128, -0.07954, -0.97147,
13.26, 1.79, 25.12,-0.04427, 0.23474, -0.08009, -0.96774,
13.15, 1.79, 25.32,-0.09910, 0.22912, -0.05605, -0.96672,
13.02, 1.76, 25.55,-0.13988, 0.19993, -0.04447, -0.96875,
12.86, 1.77, 25.76,-0.14861, 0.20381, -0.03196, -0.96714,
12.64, 1.76, 25.92,-0.16045, 0.15393, -0.05697, -0.97330,
12.43, 1.78, 26.04,-0.15177, 0.13248, -0.06254, -0.97750,
12.32, 1.77, 26.16,-0.14275, 0.15040, -0.03040, -0.97779,
12.27, 1.79, 26.30,-0.06977, 0.18235, 0.02016, -0.98055,
12.24, 1.78, 26.38,-0.11234, 0.10512, 0.01538, -0.98797,
12.19, 1.77, 26.42,-0.18918, 0.05262, -0.01299, -0.98045,
12.07, 1.76, 26.37,-0.19808, -0.00762, -0.02616, -0.97981,
11.92, 1.75, 26.31,-0.20271, -0.01653, -0.04104, -0.97824,
11.88, 1.75, 26.27,-0.22103, 0.00741, -0.04599, -0.97415,
11.96, 1.74, 26.25,-0.25052, 0.02588, 0.01912, -0.96758,
12.02, 1.76, 26.22,-0.20957, -0.00760, 0.02742, -0.97738,
12.01, 1.79, 26.20,-0.12495, 0.00851, -0.00701, -0.99210,
11.99, 1.80, 26.20,-0.08028, 0.01288, -0.02797, -0.99630,
12.00, 1.79, 26.21,-0.10034, -0.03057, -0.00491, -0.99447,
12.00, 1.78, 26.21,-0.14547, -0.04273, -0.00936, -0.98839,
11.99, 1.78, 26.22,-0.15025, -0.03479, -0.01198, -0.98796,
12.00, 1.78, 26.22,-0.14574, -0.03774, -0.01640, -0.98847,
11.99, 1.78, 26.22,-0.15178, -0.02234, -0.02400, -0.98787,
12.00, 1.77, 26.22,-0.16509, -0.03379, -0.00699, -0.98567,
12.00, 1.78, 26.23,-0.15627, -0.02878, -0.01323, -0.98721,
12.01, 1.77, 26.23,-0.15888, -0.05883, 0.00747, -0.98552,
12.01, 1.78, 26.24,-0.15730, -0.06956, -0.00244, -0.98510,
12.00, 1.77, 26.24,-0.16612, -0.03280, -0.00749, -0.98553,
12.02, 1.77, 26.25,-0.16415, -0.09466, 0.01675, -0.98174,
12.00, 1.77, 26.25,-0.16667, -0.04670, -0.02064, -0.98469,
12.00, 1.77, 26.24,-0.16425, -0.05594, -0.01274, -0.98475,
12.00, 1.77, 26.24,-0.16113, -0.03198, -0.01690, -0.98627,
12.00, 1.77, 26.24,-0.16004, -0.03873, -0.01441, -0.98625,
12.00, 1.77, 26.24,-0.16042, -0.03800, -0.01461, -0.98621,
12.00, 1.78, 26.23,-0.14115, -0.03793, -0.01559, -0.98914,
11.99, 1.79, 26.22,-0.08884, -0.00221, -0.02015, -0.99584,
11.98, 1.78, 26.22,-0.11544, 0.04276, -0.01868, -0.99222,
11.99, 1.78, 26.22,-0.13547, 0.03337, -0.01415, -0.99012,
11.99, 1.78, 26.22,-0.12626, 0.01784, -0.01285, -0.99175,
12.00, 1.78, 26.22,-0.12552, 0.00220, -0.01361, -0.99200,
11.99, 1.78, 26.21,-0.12726, 0.00636, -0.01277, -0.99177,
12.02, 1.78, 26.21,-0.13453, -0.09317, -0.00442, -0.98651,
12.03, 1.78, 26.21,-0.13729, -0.12086, 0.00902, -0.98309,
12.05, 1.78, 26.21,-0.15770, -0.14647, 0.01291, -0.97648,
12.02, 1.78, 26.22,-0.16046, -0.02340, 0.00381, -0.98676,
12.02, 1.78, 26.23,-0.15437, -0.02783, -0.00505, -0.98761,
12.03, 1.79, 26.23,-0.12144, -0.06837, 0.00075, -0.99024,
12.03, 1.79, 26.23,-0.11723, -0.04373, 0.00681, -0.99212,
12.02, 1.78, 26.24,-0.12460, -0.02924, 0.00181, -0.99178,
12.04, 1.79, 26.23,-0.08727, -0.13009, 0.00554, -0.98764,
12.02, 1.79, 26.23,-0.08814, -0.06152, -0.00054, -0.99421,
12.01, 1.78, 26.24,-0.13415, -0.01650, -0.01716, -0.99067,
12.01, 1.78, 26.25,-0.14978, 0.04093, -0.01163, -0.98780,
12.01, 1.78, 26.25,-0.14685, 0.03888, -0.01076, -0.98834,
12.00, 1.78, 26.25,-0.14125, 0.09464, -0.02217, -0.98519,
11.97, 1.78, 26.24,-0.14625, 0.16657, -0.03217, -0.97459,
11.96, 1.77, 26.24,-0.15325, 0.18319, -0.04058, -0.97021,
11.97, 1.77, 26.24,-0.16368, 0.14289, -0.03909, -0.97533,
12.00, 1.77, 26.25,-0.17941, 0.01661, -0.02370, -0.98335,
12.02, 1.77, 26.25,-0.17994, -0.03723, -0.00195, -0.98297,
12.06, 1.77, 26.25,-0.17144, -0.02005, 0.01061, -0.98493,
12.10, 1.77, 26.25,-0.14312, 0.00539, 0.03140, -0.98919,
12.14, 1.79, 26.24,-0.09986, 0.06539, 0.00714, -0.99283,
12.20, 1.79, 26.26,-0.09891, -0.05996, -0.00311, -0.99328,
12.17, 1.82, 26.32,0.04350, -0.06659, -0.05259, -0.99544,
12.10, 1.81, 26.44,-0.02685, -0.10868, -0.07188, -0.99111,
12.03, 1.77, 26.53,-0.17553, 0.06276, -0.04798, -0.98130,
12.08, 1.77, 26.58,-0.15518, 0.11074, -0.04659, -0.98055,
12.19, 1.79, 26.61,-0.11877, 0.14718, -0.01957, -0.98176,
12.29, 1.79, 26.61,-0.10680, 0.15772, 0.00233, -0.98169,
12.30, 1.78, 26.61,-0.10946, 0.21590, -0.03638, -0.96958,
12.26, 1.79, 26.57,-0.06247, 0.24050, -0.06641, -0.96636,
12.15, 1.80, 26.50,-0.01844, 0.18194, -0.06597, -0.98092,
12.02, 1.80, 26.43,-0.03241, 0.15192, -0.07069, -0.98533,
11.95, 1.79, 26.42,-0.08805, 0.13744, -0.06556, -0.98441,
11.94, 1.78, 26.51,-0.12322, 0.03861, -0.03980, -0.99083,
11.94, 1.76, 26.62,-0.13441, -0.04219, -0.00884, -0.98999,
11.88, 1.79, 26.64,-0.05998, -0.01366, -0.04468, -0.99711,
11.81, 1.79, 26.64,-0.06268, -0.02150, -0.06202, -0.99587,
11.76, 1.77, 26.61,-0.13414, -0.06091, -0.06020, -0.98725,
11.73, 1.78, 26.54,-0.11880, -0.12226, -0.05601, -0.98377,
11.71, 1.77, 26.49,-0.12888, -0.06194, -0.05843, -0.98800,
11.78, 1.77, 26.49,-0.14614, -0.02863, -0.02667, -0.98849,
11.94, 1.77, 26.49,-0.14293, -0.00452, -0.01218, -0.98965,
12.09, 1.76, 26.48,-0.17149, -0.03799, -0.00485, -0.98444,
12.13, 1.76, 26.46,-0.16259, 0.00868, -0.01158, -0.98659,
12.11, 1.77, 26.43,-0.14030, 0.05861, -0.00652, -0.98835,
12.06, 1.77, 26.43,-0.14203, 0.04092, -0.01408, -0.98892,
12.01, 1.77, 26.43,-0.16908, 0.03754, -0.02576, -0.98455,
11.98, 1.78, 26.43,-0.14539, 0.03844, -0.01877, -0.98845,
11.97, 1.78, 26.44,-0.14370, 0.02563, -0.02954, -0.98885,
11.96, 1.77, 26.44,-0.15738, 0.06078, -0.03700, -0.98497,
11.96, 1.78, 26.44,-0.15303, 0.06143, -0.03556, -0.98567,
11.97, 1.78, 26.44,-0.15151, 0.03589, -0.02662, -0.98745,
11.98, 1.78, 26.44,-0.14854, 0.01061, -0.02159, -0.98861,
11.98, 1.78, 26.45,-0.13791, 0.02089, -0.01902, -0.99004,
11.96, 1.77, 26.45,-0.16000, 0.08062, -0.02835, -0.98341,
11.94, 1.77, 26.46,-0.18785, 0.14190, -0.02621, -0.97154,
11.95, 1.76, 26.46,-0.19441, 0.12528, -0.02580, -0.97255,
11.97, 1.77, 26.47,-0.19076, 0.07913, -0.01679, -0.97830,
11.99, 1.77, 26.47,-0.17456, 0.01475, -0.00596, -0.98452,
12.00, 1.77, 26.46,-0.16444, -0.00172, -0.00543, -0.98637,
11.99, 1.78, 26.46,-0.14410, 0.00513, -0.01090, -0.98949,
11.98, 1.81, 26.44,-0.01023, 0.00326, -0.03168, -0.99944,
11.99, 1.81, 26.43,-0.03041, -0.01934, -0.01387, -0.99925,
12.00, 1.80, 26.43,-0.06568, -0.05713, 0.00265, -0.99620,
11.99, 1.79, 26.44,-0.11560, -0.04879, 0.00271, -0.99209,
12.00, 1.79, 26.43,-0.11007, -0.03919, -0.00375, -0.99314,
11.99, 1.78, 26.44,-0.13438, -0.00414, -0.00813, -0.99089,
12.00, 1.78, 26.46,-0.14877, 0.00453, -0.00238, -0.98886,
12.00, 1.77, 26.46,-0.15450, -0.00155, -0.00616, -0.98797,
12.00, 1.77, 26.46,-0.15993, -0.02439, -0.01319, -0.98674,
12.00, 1.77, 26.46,-0.16354, -0.00254, -0.00858, -0.98650,
12.01, 1.77, 26.46,-0.16279, 0.01005, -0.01075, -0.98655,
12.01, 1.77, 26.46,-0.16624, 0.00551, -0.00664, -0.98605,
12.01, 1.77, 26.46,-0.16755, 0.00694, -0.00958, -0.98579,
12.01, 1.77, 26.46,-0.16114, 0.01405, -0.01262, -0.98675,
12.01, 1.79, 26.46,-0.10645, 0.00974, -0.00707, -0.99425,
12.01, 1.78, 26.46,-0.13226, 0.01125, -0.01502, -0.99104,
12.00, 1.78, 26.47,-0.13088, 0.02322, -0.02232, -0.99087,
12.00, 1.78, 26.47,-0.14255, 0.02064, -0.02031, -0.98936,
12.00, 1.78, 26.47,-0.14166, 0.02454, -0.02302, -0.98934,
12.01, 1.78, 26.47,-0.13198, 0.02421, -0.02607, -0.99061,
12.01, 1.78, 26.47,-0.12872, 0.01859, -0.02418, -0.99121,
12.01, 1.78, 26.47,-0.12963, 0.02504, -0.02343, -0.99097,
12.08, 1.78, 26.45,-0.12372, -0.21128, 0.02677, -0.96919,
12.21, 1.76, 26.32,-0.13966, -0.70522, 0.11277, -0.68589,
12.18, 1.75, 26.24,0.14084, 0.87666, -0.15864, 0.43181,
12.18, 1.75, 26.25,-0.19265, -0.81852, 0.12381, -0.52686,
