Source = 0, Local odds = 0.4, Reward = 0, Time = 68.28115, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 138.4493, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 144.2903, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 148.4107, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 151.6867, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 154.7259, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 160.0168, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 171.8327, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 175.0978, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 191.29, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 199.7635, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 201.7838, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 204.5832, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 207.0697, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 209.4796, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 217.0995, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 220.054, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 222.3861, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 224.4062, 
Source = 0, Local odds = 0.45, Reward = 1, Time = 9.756291, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 18.2197, 
Source = 0, Local odds = 0.45, Reward = 1, Time = 25.83909, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 44.70711, 
Source = 0, Local odds = 0.45, Reward = 1, Time = 49.7163, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 55.27, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 60.48843, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 65.70184, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 71.06109, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 80.96989, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 86.49876, 
Source = 0, Local odds = 0.45, Reward = 1, Time = 96.00602, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 106.2766, 
Source = 0, Local odds = 0.45, Reward = 0, Time = 112.9295, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 136.8078, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 142.137, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 147.1919, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 152.3011, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 157.9642, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 163.9078, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 173.8013, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 189.9077, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 204.9972, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 210.1268, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 215.2921, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 221.9003, 
