Source = 0, Local odds = 0.6, Reward = 1, Time = 24.00717, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 421.2868, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 426.7189, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 432.3616, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 438.7232, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 444.6326, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 450.0628, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 455.5513, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 460.9508, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 466.9364, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 472.5644, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 479.1506, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 486.9916, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 493.0206, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 499.2635, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 504.7595, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 510.1788, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 516.0206, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 521.795, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 540.408, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 546.3953, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 553.223, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 559.31, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 564.9993, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 571.1393, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 577.2458, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 583.2236, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 589.4731, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 594.9819, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 601.035, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 606.4321, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 627.8107, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 633.2742, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 638.7091, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 644.1597, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 649.8439, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 655.7756, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 661.2297, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 667.5366, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 673.7659, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 679.1323, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 706.3857, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 718.3561, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 756.7823, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 762.1782, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 768.408, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 788.3098, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 795.2063, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 800.7159, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 806.4918, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 812.6878, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 818.0528, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 823.9401, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 830.0704, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 836.369, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 842.3068, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 847.7869, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 853.8678, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 860.1548, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 867.7316, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 873.3197, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 879.6222, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 885.1984, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 891.4057, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 915.2155, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 920.8937, 
