ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 20.72312, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 389.7134, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 395.0773, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 400.3531, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 405.6491, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 422.0154, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 427.3382, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 432.6489, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 437.9342, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 443.1646, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 448.4975, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 453.9379, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 459.1877, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 464.4172, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 469.6411, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 486.224, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 491.6518, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 496.9291, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 502.1028, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 507.9575, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 513.0926, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 518.3725, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 523.6061, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 528.8209, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 534.0545, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 540.0811, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 545.2943, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 560.442, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 565.7167, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 571.8529, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 577.1222, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 0, Time = 582.3966, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 587.8182, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 593.0899, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 598.4235, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 603.6601, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 609.1198, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 0, Time = 614.382, 
