ID= Mitch_control, Source = 0, Local odds = 0.5, Reward = 1, Time = 42.9607, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 224.5384, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 229.828, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 235.0994, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 240.4645, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 245.7954, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 251.1358, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 256.7115, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 262.1864, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 267.5064, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 272.8155, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 278.0911, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 283.4882, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 289.0392, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 294.3165, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 299.5805, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 305.6982, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 310.9742, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 316.2601, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 321.619, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 326.9362, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 332.2855, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 337.528, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 342.9247, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 348.257, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 353.6193, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 358.9392, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 364.2823, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 369.5679, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 374.8427, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 380.0742, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 385.4127, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 390.6569, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 395.9783, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 401.5306, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 406.8825, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 412.214, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 417.7783, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 423.0529, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 428.3271, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 433.6159, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 438.9666, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 444.2541, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 449.5064, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 454.7707, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 460.0232, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 465.2657, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 470.531, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 476.3018, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 481.5245, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 486.7996, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 492.0305, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 497.3057, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 502.6476, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 507.945, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 513.2423, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 518.6856, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 524.0045, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 529.3343, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 534.9664, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 540.6616, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 545.9238, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 551.2018, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 556.632, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 561.8974, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 567.2066, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 572.5585, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 577.9348, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 583.3089, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 588.6392, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 593.915, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 599.4001, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 604.7303, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 610.2509, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 615.5484, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 620.9125, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 626.2106, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 631.4621, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 636.7156, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 642.1562, 
